user_id,date,age,age_group,social_media_hours,work_or_study_hours,entertainment_hours,total_screen_time,primary_device,internet_type,p_social,p_work,p_entertainment,entropy,dbi,dominance,dominant_category,dbi_tier,load_tier,flag_highload_skewed
1,2024-04-02,15,13-18,2.2,3.7,2.4,8.3,Mobile,WiFi,0.26506024096385544,0.4457831325301205,0.2891566265060241,1.0708865274343093,0.9747629245369052,0.4457831325301205,Work/Study,Balanced,Medium,0
2,2024-06-07,13,13-18,1.1,6.9,2.1,10.1,Tablet,WiFi,0.10891089108910892,0.6831683168316832,0.20792079207920794,0.8283366751562609,0.7539845345808807,0.6831683168316832,Work/Study,Mixed,High,0
3,2024-04-03,21,19-25,1.3,5.7,1.6,8.6,Tablet,WiFi,0.15116279069767444,0.6627906976744187,0.186046511627907,0.8710951628883237,0.7929049873858466,0.6627906976744187,Work/Study,Mixed,Medium,0
4,2024-10-02,35,26-35,2.5,5.0,2.0,9.5,Mobile,WiFi,0.2631578947368421,0.5263157894736842,0.21052631578947367,1.0171643509248343,0.92586289213821,0.5263157894736842,Work/Study,Balanced,High,0
5,2024-10-05,49,46-60,0.2,6.3,2.8,9.3,Laptop,WiFi,0.02150537634408602,0.6774193548387096,0.30107526881720426,0.7078090801565662,0.6442755897211659,0.6774193548387096,Work/Study,Mixed,High,0
6,2024-11-22,44,36-45,1.9,3.8,2.5,8.2,Tablet,Mobile Data,0.23170731707317074,0.4634146341463415,0.30487804878048785,1.057395950978033,0.9624832726565941,0.4634146341463415,Work/Study,Balanced,Medium,0
7,2024-04-02,47,46-60,3.2,5.4,2.9,11.5,Mobile,Mobile Data,0.2782608695652174,0.46956521739130436,0.25217391304347825,1.05832111554873,0.9633253937399278,0.46956521739130436,Work/Study,Balanced,High,0
8,2024-04-02,22,19-25,3.8,6.9,2.9,13.6,Laptop,Mobile Data,0.27941176470588236,0.5073529411764707,0.21323529411764705,1.0300578125270718,0.9375990266555737,0.5073529411764707,Work/Study,Balanced,High,0
9,2024-02-13,16,13-18,3.9,6.7,3.3,13.9,Tablet,WiFi,0.2805755395683453,0.48201438848920863,0.23741007194244604,1.0497396940900818,0.9555142473080489,0.48201438848920863,Work/Study,Balanced,High,0
10,2024-09-07,14,13-18,0.5,6.7,1.0,8.2,Laptop,WiFi,0.06097560975609757,0.8170731707317074,0.12195121951219513,0.5922381985897935,0.539078439863245,0.8170731707317074,Work/Study,Skewed,Medium,0
11,2024-08-25,24,19-25,1.7,5.4,1.5,8.6,Laptop,WiFi,0.19767441860465115,0.6279069767441862,0.1744186046511628,0.9172482453237445,0.8349153334483087,0.6279069767441862,Work/Study,Balanced,Medium,0
12,2024-02-05,64,60+,2.2,2.0,2.8,7.0,Mobile,Mobile Data,0.31428571428571433,0.2857142857142857,0.39999999999999997,1.088219445908381,0.99054002684393,0.39999999999999997,Entertainment,Balanced,Low,0
13,2024-09-09,28,26-35,2.2,3.8,3.4,9.4,Laptop,WiFi,0.23404255319148937,0.40425531914893614,0.36170212765957444,1.0738536558823966,0.9774637212407945,0.40425531914893614,Work/Study,Balanced,High,0
14,2024-06-11,37,36-45,2.3,3.9,3.4,9.6,Tablet,WiFi,0.23958333333333331,0.40625,0.3541666666666667,1.0758947643597514,0.9793216182426835,0.40625,Work/Study,Balanced,High,0
15,2024-06-16,64,60+,2.3,6.5,2.5,11.3,Mobile,Mobile Data,0.20353982300884954,0.5752212389380531,0.22123893805309733,0.975852994541616,0.8882596750530438,0.5752212389380531,Work/Study,Balanced,High,0
16,2024-03-20,20,19-25,3.6,5.1,2.3,11.0,Laptop,Mobile Data,0.32727272727272727,0.4636363636363636,0.20909090909090908,1.0491516747039524,0.9549790089967769,0.4636363636363636,Work/Study,Balanced,High,0
